Sigla;Nome;Bacia ;Tipo;Operador;Latitude;Longitude;Lâmina D'água (m);Capacidade de Processamento Petróleo (bbl/dia);Capacidade de Processamento Gás (Mil m³/dia)
CAPX;FPSO CAPIXABA;Campos ;FPSO;Petrobras;-21:14:16,783;-39:57:46,397;1350;110000;3200
FCDA;FPSO CIDADE DE ANCHIETA;Campos ;FPSO;Petrobras;-21:20:16,965;-40:03:27,174;1221;100000;3500
FPCAR;FPSO CIDADE DE ANGRA DOS REIS;Santos;FPSO;Petrobras;-25:32:36,595;-42:50:30,549;2140;100000;5000
FPCGZ;FPSO Cidade de Campos dos Goytacazes;Campos ;FPSO;Petrobras;-22:57:12,165;-40:43:31,966;765;150000;3500
FPCCG;FPSO CIDADE DE CARAGUATATUBA;Santos;FPSO;Total E&P do Brasil;-25:31:07,410;-43:27:59,570;2150;100000;5000
FPCIB;FPSO CIDADE DE ILHA BELA;Santos;FPSO;Petrobras;-25:40:22,095;-43:12:22,291;2140;150000;6000
FPCIG;FPSO CIDADE DE ITAGUAÍ;Santos;FPSO;Petrobras;-25:08:29,649;-42:56:40,909;2240;150955;8000
FPCI;FPSO CIDADE DE ITAJAÍ;Santos;FPSO;Petrobras;-26:27:59,898;-46:31:43,278;275;80000;2000
FPCMB;FPSO CIDADE DE MANGARATIBA;Santos;FPSO;Petrobras;-25:12:14,682;-42:52:42,826;2220;150000;8000
FPCMC;FPSO CIDADE DE MARICÁ;Santos;FPSO;Petrobras;-25:26:55,855;-42:45:11,059;2120;150000;6000
FPNT;FPSO CIDADE DE NITEROI;Campos ;FPSO;Petrobras;-22:29:47,688;-39:56:14,785;1370;100000;3500
FPCP;FPSO CIDADE DE PARATY;Santos;FPSO;Petrobras;-25:22:02,334;-42:45:36,693;2140;120000;5000
FPCST;FPSO CIDADE DE SANTOS;Santos;FPSO;Petrobras;-24:18:07,259;-42:42:52,384;1300;35000;10000
FPCSP;FPSO CIDADE DE SÃO PAULO;Santos;FPSO;Petrobras;-25:47:59,437;-43:15:47,777;2140;120000;5000
FPCSQ;FPSO CIDADE DE SAQUAREMA;Santos;FPSO;Petrobras;-25:29:28,562;-42:46:52,546;2120;150000;6000
CVIX;FPSO CIDADE DE VITÓRIA;Espirito Santo;FPSO;Petrobras;-20:02:34,750;-39:31:32,387;1386;100000;3500
FPSO ESP SANTO;FPSO ESPIRITO SANTO;Campos ;FPSO;Shell Brasil;-21:12:30,854;-39:44:33,774;1775;100000;1400
FPSO FLUMINENSE;FPSO Fluminense;Campos ;FPSO;Shell Brasil;-22:38:57,206;-40:25:43,286;607;70000;2124
